category,name,message,status,severity,type,email_subject,is_audit,send_to_syslog
active_directory,ActiveDirectoryForestRestoreStarted,Active Directory forest restore started for forest ${forestName}.,Running,Info,Recovery,n/a,No,No
active_directory,ActiveDirectoryForestRestoreSuccess,Active Directory forest restore succeeded for forest ${forestName}.,Success,Info,Recovery,n/a,No,No
active_directory,ActiveDirectoryForestRootDcPhaseFailed,${phaseName} failed for Active Directory forest root domain controller due to critical error ${reason}.,Failure,Warning,Recovery,n/a,No,No
active_directory,ActiveDirectoryForestRootDcPhaseStarted,${phaseName} started for Active Directory forest root domain controller.,Success,Info,Recovery,n/a,No,No
active_directory,ActiveDirectoryForestRootDcPhaseSuccess,${phaseName} succeeded for Active Directory forest root domain controller.,Success,Info,Recovery,n/a,No,No
accountmanagement,ActiveDirectoryForestTransitionCompleted,${username} transitioned from Domain view to Forest view.,Success,Info,Audit,n/a,Yes,Yes
active_directory,ActiveDirectoryGpoRollbackFailure,${username} unable to roll back GPO ${gpoId} in domain ${domainSid} on the Active Directory domain controller '${domainControllerName}' using snapshot ${snapshotId}. Reason: ${errorMessage}.,Failure,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryGpoRollbackSuccess,${username} successfully rolled back GPO ${gpoId} in domain ${domainSid} on the Active Directory domain controller '${domainControllerName}' using snapshot ${snapshotId}.,Success,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryIrRemediationFailed,${username} unable to start remediation ${remediationType} for risks identified on the Active Directory domain controller '${dcName}'. Reason: ${reason}.,Failure,Info,DATA_RISKS,n/a,Yes,Yes
active_directory,ActiveDirectoryIrRemediationStarted,${username} triggered remediation ${remediationType} for risks identified on the Active Directory domain controller '${dcName}'.,Success,Info,DATA_RISKS,n/a,Yes,Yes
active_directory,ActiveDirectoryLiveMountStartFailed,${username} unable to start a job to mount the snapshot ${snapshotFid}  of the Active Directory domain controller ${dcName}. Reason: ${reason}.,Failure,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryLiveMountStarted,${username} started a job to mount the snapshot ${snapshotFid} of the  Active Directory domain controller ${dcName}.,Success,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryModifyLiveMountStartFailed,${username} unable to update the snapshot mount of volume export  ${volumeExportFid} of the Active Directory domain controller ${dcName}.  Reason: ${reason}.,Failure,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryModifyLiveMountStarted,${username} updated the snapshot mount of volume export  ${volumeExportFid} of the Active Directory domain controller ${dcName}.,Success,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryObjectsRestoreStartFailed,${username} unable to start a job to ${restoreOperation} on the Active Directory domain controller '${dcName}' using the snapshot ${snapshotFid}. Reason: ${reason}.,Failure,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryObjectsRestoreStarted,${username} started a job to ${restoreOperation} on the Active Directory domain controller '${dcName}' using the snapshot ${snapshotFid}.,Success,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryRefreshDomainStartFailed,${username} unable to start a job to refresh the Active Directory domain  ${domainName}. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
active_directory,ActiveDirectoryRefreshDomainStarted,${username} started a job to refresh the Active Directory domain  ${domainName}.,Success,Info,Configuration,n/a,Yes,Yes
active_directory,ActiveDirectoryRestoreToDCJobStartFailed,${username} unable to start a job to restore the Active Directory domain controller ${dcName} using the snapshot ${snapshotFid}. Reason:  ${reason}.,Failure,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryRestoreToDCJobStarted,${username} started a job to restore the Active Directory domain controller ${dcName} using the snapshot ${snapshotFid}.,Success,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryRestoreToHostJobStartFailed,${username} unable to start a job to restore the Active Directory domain controller ${dcName} to the host ${hostName} using the snapshot ${snapshotFid}. Reason: ${reason}.,Failure,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryRestoreToHostJobStarted,${username} started a job to restore the Active Directory domain controller ${dcName} to the host ${hostName} using the snapshot ${snapshotFid}.,Success,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryUnmountStartFailed,${username} unable to start a job to unmount the snapshot mount of  volume export ${volumeExportFid} of the  Active Directory domain  controller ${dcName}. Reason: ${reason}.,Failure,Info,Recovery,n/a,Yes,Yes
active_directory,ActiveDirectoryUnmountStarted,${username} started a job to unmount the snapshot mount of volume  export ${volumeExportFid} of the Active Directory domain controller  ${dcName}.,Success,Info,Recovery,n/a,Yes,Yes
security_violation,AdIrRemediationFailed,Failed to remediate AD IR risk '${riskName}' with '${remediationType}' on ${objectName}.,Failure,Critical,SECURITY_VIOLATION,Failed to remediate AD IR Risk '${riskName}' on ${objectName}.,No,Yes
security_violation,AdIrRemediationStarted,Initiating remediation of AD IR risk '${riskName}' with '${remediationType}' on ${objectName}.,TaskSuccess,Info,SECURITY_VIOLATION,Initiating remediation of AD Risk '${riskName}' on ${objectName}.,No,Yes
security_violation,AdIrRemediationSuccess,Remediated AD IR risk '${riskName}' with '${remediationType}' on ${objectName}.,Success,Info,SECURITY_VIOLATION,Completed remediation of AD Risk '${riskName}' on ${objectName}.,No,Yes
cassandra_source,AddCassandraSourceFailure,${username} failed to add the Cassandra source '${sourceName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
cassandra_source,AddCassandraSourceStarted,${username} started adding the Cassandra source '${sourceName}'.,Success,Info,Configuration,n/a,Yes,Yes
mongo,AddCdmMongoSourceFailure,${username} unable to add MongoDB source '${sourceName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
mongo,AddCdmMongoSourceStarted,${username} started adding MongoDB source '${sourceName}'.,Success,Info,Configuration,n/a,Yes,Yes
cluster,AddClusterNodes,${userName} started an add-node job for ${clusterName}.,Success,Info,Configuration,n/a,Yes,Yes
cluster,AddClusterNodesFailed,${userName} failed to start an add-node job for ${clusterName}.,Failure,Info,Configuration,n/a,Yes,Yes
cluster,AddClusterRoute,${userName} added route ${routeConfig} for Rubrik cluster ${clusterName}.,Success,Info,Configuration,n/a,Yes,Yes
cluster,AddClusterRouteFailed,${userName} was unable to add route ${routeConfig} for Rubrik cluster ${clusterName}. Failure reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
db2,AddDb2InstanceFailure,${username} failed to add Db2 instance '${instanceName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
db2,AddDb2InstanceStarted,${username} started adding Db2 instance '${instanceName}'.,Success,Info,Configuration,n/a,Yes,Yes
failover_cluster_app,AddFailoverClusterAppFailure,${username} failed to add Host Failover Cluster App '${failoverClusterAppName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
failover_cluster_app,AddFailoverClusterAppStarted,${username} started adding Host Failover Cluster App '${failoverClusterAppName}'.,Success,Info,Configuration,n/a,Yes,Yes
failover_cluster,AddFailoverClusterFailure,${username} failed to add Host Failover Cluster '${failoverClusterName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
failover_cluster,AddFailoverClusterStarted,${username} started adding Host Failover Cluster '${failoverClusterName}'.,Success,Info,Configuration,n/a,Yes,Yes
hyperv,AddHypervScvmmFailed,${username} failed to create Hyperv Scvmm '${hostName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
hyperv,AddHypervScvmmStarted,${username} started creating Hyperv Scvmm '${hostName}'.,Success,Info,Configuration,n/a,Yes,Yes
moat,AddIPWhitelistEntries,"${actorUserEmail} added new addresses, (${newIpCidrs}), to IP allowlist.",Success,Info,AccessManagement,n/a,Yes,Yes
kms_key_vault,AddKMSKeyVault,${username} added KMS Key Vault ${keyVaultName} of type ${keyVaultType}${authConfigurationDetails}.,Success,Info,Configuration,n/a,Yes,Yes
cdm_encryption,AddKmipServerFailure,${ActorSubjectName} failed to add a KMIP server with the address '${address}.',Failure,Info,ENCRYPTION_MANAGEMENT_OPERATION,n/a,Yes,Yes
cdm_encryption,AddKmipServerSuccess,${ActorSubjectName} added a KMIP server with the address '${address}.',Success,Info,ENCRYPTION_MANAGEMENT_OPERATION,n/a,Yes,Yes
mongo_source,AddMongoSourceFailure,${username} failed to add the MongoDB source '${sourceName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
mongo_source,AddMongoSourceStarted,${username} started adding the MongoDB source '${sourceName}'.,Success,Info,Configuration,n/a,Yes,Yes
mosaic_store,AddMosaicStoreFailure,${username} failed to add the NoSQL store '${storeName}. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
mosaic_store,AddMosaicStoreStarted,${username} started the operation to add the NoSQL store '${storeName}'.,Success,Info,Configuration,n/a,Yes,Yes
mysqldb_instance,AddMysqldbInstanceFailure,${username} failed to add MySQL instance '${instanceName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
mysqldb_instance,AddMysqldbInstanceStarted,${username} started adding MySQL instance '${instanceName}'.,Success,Info,Configuration,n/a,Yes,Yes
sso,AddNewSSOIdentityProvider,"${userName} successfully added a new SSO identity provider, ${name}, with entity ID, ${entityID}.",Success,Info,Configuration,Added new SSO Identity Provider,Yes,Yes
openstack,AddOpenstackEnvironmentFailed,${username} failed to start a job to add OpenStack environment '${environmentAddress}'. Failure reason: ${reason}.,Failure,Critical,Configuration,n/a,Yes,Yes
openstack,AddOpenstackEnvironmentStarted,${username} started a job to add OpenStack environment '${environmentAddress}',Success,Info,Configuration,n/a,Yes,Yes
postgres_db_cluster,AddPostgresDbClusterFailure,${username} failed to add PostgreSQL database cluster '${dbClusterName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
postgres_db_cluster,AddPostgresDbClusterStarted,${username} started adding PostgreSQL database cluster '${dbClusterName}'.,Success,Info,Configuration,n/a,Yes,Yes
sap_hana_system,AddSapHanaSystemFailure,${username} failed to add SAP HANA system '${systemName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
sap_hana_system,AddSapHanaSystemStarted,${username} started adding SAP HANA system '${systemName}'.,Success,Info,Configuration,n/a,Yes,Yes
smb_domain,AddSmbDomainFailure,${username} failed to add SMB domain '${smbDomainName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
smb_domain,AddSmbDomainSuccess,${username} successfully added SMB domain '${smbDomainName}'.,Success,Info,Configuration,n/a,Yes,Yes
cluster,AddSyslogExportRule,${userName} added a Syslog export rule on ${clusterName}.,Success,Info,Configuration,n/a,Yes,Yes
cluster,AddSyslogExportRuleFailed,${userName} was unable to add a Syslog export rule on ${clusterName}.  Failure reason: ${reason}.,Failure,Critical,Configuration,n/a,Yes,Yes
vcd,AddVcdStartFailed,${username} failed to start a job to add vCenter '${vcdAddress}'. Failure reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
vcd,AddVcdStarted,${username} started a job to add VCD '${vcdAddress}',Success,Info,Configuration,n/a,Yes,Yes
vsphere,AddVcenterStartFailed,${username} failed to start a job to add ${sourceType}  '${vcenterAddress}'. Failure reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
vsphere,AddVcenterStarted,${username} started a job to add ${sourceType} '${vcenterAddress}',Success,Info,Configuration,n/a,Yes,Yes
authz,AdminRequestedPasswordChange,${userName} initiated a mandatory password reset for ${userNames}.,Success,Info,AccessManagement,${userName} initiated a mandatory password reset for ${userNames}.,Yes,Yes
authz,AllRolesDeassignedFromUser,${userName} removed all role assignments from the user ${targetUser}.,Success,Info,AccessManagement,RBAC Role Assignment,Yes,Yes
authz,AllRolesDeassignedFromUserGroup,${userEmail} revoked all roles from user group ${groupName}.,Success,Info,AccessManagement,RBAC Role Assignment,Yes,Yes
classification,AnalyzerCreated,${username} created a new custom analyzer named '${analyzerName}'.,Success,Info,Classification,n/a,Yes,Yes
classification,AnalyzerDeleted,${username} deleted the custom analyzer named '${analyzerName}'.,Success,Info,Classification,n/a,Yes,Yes
classification,AnalyzerEdited,${username} modified the custom analyzer named '${analyzerName}'.,Success,Info,Classification,n/a,Yes,Yes
classification,AnalyzerRiskUpdated,${username} updated the analyzer risk to '${analyzerRisk}' for  ${analyzerNames}.,Success,Info,Classification,n/a,Yes,Yes
anomaly,AnomalyResolveReportedFalsePositiveAndDirectoriesSnoozed,${user} resolved and reported anomaly as a false positive for snapshot taken on ${snapshotDate} of ${snappableType} '${snappableName}'.  ${directoriesSnoozed} directories were snoozed.,Success,Info,ANOMALY,n/a,Yes,Yes
anomaly,AnomalyResolved,${user} resolved anomaly for snapshot taken on ${snapshotDate} of ${snappableType} '${snappableName}'.,Success,Info,ANOMALY,n/a,Yes,Yes
anomaly,AnomalyResolvedAndFalsePositiveReported,${user} resolved and reported anomaly as a false positive for snapshot taken on ${snapshotDate} of ${snappableType} '${snappableName}'.,Success,Info,ANOMALY,n/a,Yes,Yes
pending_action,AppBlueprintChangeSyncFailed,Failed to ${operation} Blueprint ${data} on cluster: ${reason},Failure,Critical,Sync,n/a,No,No
pending_action,AppBlueprintChangeSyncStarted,Started to ${operation} Blueprint ${data} on cluster,TaskSuccess,Info,Sync,n/a,No,No
pending_action,AppBlueprintChangeSyncSucceed,Succeeded to ${operation} Blueprint ${data} on cluster,Success,Info,Sync,n/a,No,No
legalhold,ApplyLegalHoldFailure,${userEmail} on the Rubrik cluster named ${clusterName} unsuccessfully attempted to place a Legal Hold on the ${snapshotTimeDisplay} UTC snapshot of ${snappableName}.,Failure,Info,Configuration,Failure: Place Snapshot on Legal Hold,Yes,Yes
legalhold,ApplyLegalHoldSuccess,${userEmail} has successfully placed a Legal Hold on the ${snapshotTimeDisplay} UTC snapshot of ${snappableName} on the Rubrik cluster ${clusterName}.,Success,Info,Configuration,Success: Place Snapshot on Legal Hold,Yes,Yes
archivalgroup,ArchivalGroupCreationSucceeded,${userEmail} successfully created ${archivalGroupType} Archival Location ${archivalGroupName}.,Success,Info,Configuration,n/a,Yes,Yes
archivalgroup,ArchivalGroupDeletionSucceeded,${userEmail} successfully deleted Archival Location ${archivalGroupName}.,Success,Info,Configuration,n/a,Yes,Yes
archivalgroup,ArchivalGroupModificationSucceeded,${userEmail} successfully modified Archival Location ${archivalGroupName}.,Success,Info,Configuration,n/a,Yes,Yes
encryption_keys,ArchivalKeyRotationFailure,Key rotation on archival location ${locationName} has failed.,Failure,Critical,Configuration,n/a,No,No
encryption_keys,ArchivalKeyRotationInitiated,Key rotation on archival location ${locationName} is initiated.,Success,Info,Configuration,n/a,No,No
encryption_keys,ArchivalKeyRotationSuccess,Key rotation on archival location ${locationName} has succeeded.,Success,Info,Configuration,n/a,No,No
archivallocation,ArchivalLocationCreationSucceeded,${userEmail} successfully created ${archivalLocationType} archival  location ${archivalLocationName} with ${keyType} encryption key type.,Success,Info,Configuration,n/a,Yes,Yes
archivallocation,ArchivalLocationCreationWithKeyVaultSucceeded,${userEmail} successfully created ${archivalLocationType} archival  location ${archivalLocationName} with ${keyName} of ${keyType}  encryption key type from ${keyVaultUrl}.,Success,Info,Configuration,n/a,Yes,Yes
pending_action,ArchivalLocationJobInitiated,Job to sync Archival Location was successfully initiated on cluster,Success,Info,Sync,n/a,No,No
archival,ArchivalLocationKmsUpdateFailed,Failed to update KMS details for Archival Location {locationName}’s on  cluster {clusterName}.,Failure,Critical,Sync,n/a,No,No
archival,ArchivalLocationKmsUpdateSucceeded,Successfully updated KMS details for Archival Location {locationName}’s on cluster  {clusterName}.,Success,Info,Sync,n/a,No,No
archivallocation,ArchivalLocationModificationSucceeded,${userEmail} successfully modified archival location ${archivalLocationName}.,Success,Info,Configuration,n/a,Yes,Yes
archival,ArchivalLocationOperationSuccess,${type} location '${name}' has been successfully ${operation}.,Success,Info,Sync,Archival Location ${operation},No,No
archivallocation,ArchivalLocationReaderDataSourcesRefreshTriggerFailed,${userEmail} failed to trigger data source refresh for reader archival location ${archivalLocationName}.,Failure,Info,Configuration,n/a,Yes,Yes
archivallocation,ArchivalLocationReaderDataSourcesRefreshTriggerSucceeded,${userEmail} successfully triggered data source refresh for reader archival location ${archivalLocationName}.,Success,Info,Configuration,n/a,Yes,Yes
archivallocation,ArchivalLocationReaderPromotionFailed,${userEmail} failed to promote reader archival location ${archivalLocationName} to read/write state from Polaris.,Failure,Info,Configuration,n/a,Yes,Yes
archivallocation,ArchivalLocationReaderPromotionSucceeded,${userEmail} successfully promoted reader archival location ${archivalLocationName} to read/write state from Polaris.,Success,Info,Configuration,n/a,Yes,Yes
archivallocation,ArchivalLocationReaderRefreshTriggerFailed,${userEmail} failed to trigger refresh for reader archival location ${archivalLocationName}.,Failure,Info,Configuration,n/a,Yes,Yes
archivallocation,ArchivalLocationReaderRefreshTriggerSucceeded,${userEmail} successfully triggered refresh for reader archival location ${archivalLocationName}.,Success,Info,Configuration,n/a,Yes,Yes
archivallocation,ArchivalLocationStateChangeFailed,${userEmail} failed to ${archivalLocationStatus} archival location ${archivalLocationName} from Polaris.,Failure,Info,Configuration,n/a,Yes,Yes
archivallocation,ArchivalLocationStateChangeSucceeded,${userEmail} successfully ${archivalLocationStatus} archival location ${archivalLocationName} from Polaris.,Success,Info,Configuration,n/a,Yes,Yes
pending_action,ArchivalLocationSyncFailed,Failed to sync Archival Location to the cluster: Reason: ${reason},Failure,Critical,Sync,Archival Location Sync failed,No,No
pending_action,ArchivalLocationSyncStarted,Started to sync Archival Location to the cluster.,TaskSuccess,Info,Sync,n/a,No,No
pending_action,ArchivalLocationSyncSucceed,Succeeded to sync Archival Location to the cluster,Success,Info,Sync,Archival Location Sync Success,No,No
archival,ArchivalLocationUnsyncedDeleteFailed,"Failed to remove the entry corresponding to the archival location, ${name}, from the UI. The location could not be synced either due to invalid parameters or unrecoverable/ fatal error. Contact Rubrik Support to remove this entry from the UI. Verify the parameters used during creation of the archival location and retry the operation with a new name.",Failure,Info,Sync,n/a,No,No
archival,ArchivalLocationUnsyncedDeleteStarted,Started removing the entry for archival location ${name} from the UI that could not be synced either due to invalid parameters or unrecoverable/fatal error. Error description: ${description},Queued,Info,Sync,n/a,No,No
archival,ArchivalLocationUnsyncedDeleteSuccess,Archival location ${name} entry was removed from the UI since it could not be synced either due to invalid parameters or unrecoverable/fatal error. Verify and try again. Error description: ${description},Failure,Info,Sync,n/a,No,No
archival,ArchivalLocationUpgradeFailed,Unable to upgrade the CDM managed archival location '${name}' on Rubrik cluster '${cluster}'.,Failure,Info,Sync,n/a,No,No
archival,ArchivalLocationUpgradeStarted,Started the upgrade of CDM managed archival location '${name}' on Rubrik cluster '${cluster}'.,Queued,Info,Sync,n/a,No,No
archival,ArchivalLocationUpgradeSuccess,Successfully completed the upgrade of CDM managed archival location '${name}' on Rubrik cluster '${cluster}'.,Success,Info,Sync,n/a,No,No
encryption_keys,ArchivalRekeyFailure,Rekey of ${rekeyJobType} on archival location ${locationName} has failed. Reason: ${reason}.,Failure,Critical,Configuration,n/a,No,No
encryption_keys,ArchivalRekeyInitiated,Rekey of ${rekeyJobType} on archival location ${locationName} is initiated.,Success,Info,Configuration,n/a,No,No
encryption_keys,ArchivalRekeyQueued,Queued the rekey of ${rekeyJobType} on archival location ${locationName}.,Queued,Info,Sync,n/a,No,No
encryption_keys,ArchivalRekeySucceeded,The rekey of ${rekeyJobType} on archival location ${locationName} has been successfully completed.,Success,Info,Configuration,n/a,No,No
encryption_keys,ArchivalRekeySuccessOnCdm,Rekey of ${rekeyJobType} on archival location ${locationName} has succeeded on the CDM cluster.,Success,Info,Configuration,n/a,No,No
encryption_keys,ArchivalRekeyTaskFailure,Rekey of ${rekeyJobType} on archival location ${locationName} has failed. Reason: ${reason}.,TaskFailure,Critical,Configuration,n/a,No,No
mssql,AssignMssqlSlaDomain,${username} assigned SLA Domain to Mssql database '${dbName}',Success,Info,Recovery,n/a,Yes,Yes
mssql,AssignMssqlSlaDomainFailed,${username} failed to assign SLA Domain to Mssql database '${dbName}',Failure,Info,Recovery,n/a,Yes,Yes
cdm_encryption,AsyncEditKmipServerFailure,${ActorSubjectName} was unable to schedule an edit of the KMIP server with the address '${address}.',Failure,Info,ENCRYPTION_MANAGEMENT_OPERATION,n/a,Yes,Yes
cdm_encryption,AsyncEditKmipServerSuccess,${ActorSubjectName} scheduled an edit of the KMIP server with the address '${address}.',Success,Info,ENCRYPTION_MANAGEMENT_OPERATION,n/a,Yes,Yes
smb_domain,AuthenticateSmbDomainFailure,${username} failed to authenticate SMB domain '${smbDomainName}'. Reason: ${reason}.,Failure,Info,Configuration,n/a,Yes,Yes
smb_domain,AuthenticateSmbDomainSuccess,${username} successfully authenticate SMB domain '${smbDomainName}'.,Success,Info,Configuration,n/a,Yes,Yes
authz,AuthorizedUserGroupsToOrg,${userEmail} authorized user groups in organization ${orgName}: ${userGroupNames}.,Success,Info,AccessManagement,Authorized User Groups to Organization,Yes,Yes
userlockout,AutoUnlocked,User account for ${username} has been auto-unlocked.,Success,Info,AccessManagement,User account auto-unlocked.,Yes,Yes
cloudaccounts,AwsAccountAdditionFailed,"${userEmail} was unable to initiate the addition of ${feature} for ${iamRoleMsg}AWS Account, ${accountName}${orgMsg}, with ID ${nativeId}.",Failure,Critical,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountAdditionSucceeded,"${userEmail} initiated addition of ${feature} for ${iamRoleMsg}AWS Account, ${accountName}${orgMsg}, with ID ${nativeId}.",Success,Info,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountDeletionFailed,${userEmail} was unable to initiate the deletion of ${feature} for ${iamRoleMsg}AWS Account ${accountName}${orgMsg} with ID ${nativeId}.,Failure,Critical,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountDeletionSucceeded,${userEmail} initiated the deletion of ${feature} for ${iamRoleMsg}AWS Account ${accountName}${orgMsg} with ID ${nativeId}.,Success,Info,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountForceDeletionFailed,${userEmail} failed to initiate deletion of ${feature} for AWS Account ${accountName} with ID ${nativeId}.,Failure,Critical,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountForceDeletionSucceeded,${userEmail} initiated deletion of ${feature} for AWS Account ${accountName} with ID ${nativeId}.,Success,Critical,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountMigrationFailed,"${userEmail} failed to initiate migration of account, ${accountName}, with ID, ${nativeId}, to AWS organization ${orgName}.",Failure,Critical,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountMigrationSucceeded,"${userEmail} initiated migration of account, ${accountName}, with ID, ${nativeId}, to AWS organization ${orgName}.",Success,Info,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountRoleChainingMappingInitiateFailed,${userEmail} failed to initiate mapping of AWS Account ${accountName} with ID ${nativeId} to role chaining account ${roleChainingAccountName} with ID ${roleChainingAccountNativeId}.,Failure,Critical,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountRoleChainingMappingInitiateSucceeded,${userEmail} initiated mapping of AWS Account ${accountName} with ID ${nativeId} to role chaining account ${roleChainingAccountName} with ID ${roleChainingAccountNativeId}.,Success,Info,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountRoleChainingUnMappingInitiateFailed,${userEmail} failed to initiate unmapping of AWS Account ${accountName} with ID ${nativeId} from role chaining account ${roleChainingAccountName} with ID ${roleChainingAccountNativeId}.,Failure,Critical,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountRoleChainingUnMappingInitiateSucceeded,${userEmail} initiated unmapping of AWS Account ${accountName} with ID ${nativeId} from role chaining account ${roleChainingAccountName} with ID ${roleChainingAccountNativeId}.,Success,Info,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountUpdateFailed,${userEmail} failed to update the ${iamRoleMsg}AWS account ${accountName} with ID ${nativeId} for feature ${feature}.,Failure,Critical,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountUpdateSucceeded,${userEmail} updated the ${iamRoleMsg}AWS account ${accountName} with ID ${nativeId} for feature ${feature}.,Success,Info,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountUpgradeFailed,${userEmail} was unable to intitate an upgrade of ${iamRoleMsg}AWS account ${accountName}${orgMsg}  with ID ${nativeId} for feature ${feature}.,Failure,Critical,Configuration,n/a,Yes,Yes
cloudaccounts,AwsAccountUpgradeSucceeded,${userEmail} initiated an upgrade of ${iamRoleMsg}AWS Account ${accountName}${orgMsg} with ID ${nativeId} for feature ${feature}.,Success,Info,Configuration,n/a,Yes,Yes
cloudaccounts,AwsCloudAccountAdditionFailed,"Unable to add the ${iamRoleMsg}AWS cloud account, ${accountName} (${nativeId})${orgMsg}, for feature ${feature}. Reason: ${reason}",Failure,Critical,Configuration,${iamRoleMsg}AWS cloud account ${accountName} (${nativeId})${orgMsg} for feature ${feature},No,No
cloudaccounts,AwsCloudAccountAdditionSucceeded,Successfully added the ${iamRoleMsg}AWS cloud account ${accountName} (${nativeId}) for feature ${feature}.,Success,Info,Configuration,${iamRoleMsg}AWS cloud account ${accountName} (${nativeId}) for feature ${feature}.,No,No
